model_name,model,dataset,lang,n,acc_before_pct,acc_after_pct,delta_pct
Gemma3-12B,gemma12,sib200,en,204,87.7,86.8,-1.0
Gemma3-12B,gemma12,sib200,ar,204,88.2,88.7,0.5
Gemma3-12B,gemma12,sib200,de,204,89.7,89.7,0.0
Gemma3-12B,gemma12,sib200,ru,204,88.7,88.2,-0.5
Gemma3-12B,gemma12,sib200,sw,204,85.3,84.8,-0.5
Gemma3-12B,gemma12,sib200,vi,204,89.2,88.7,-0.5
Gemma3-12B,gemma12,sib200,zh,204,85.8,86.3,0.5
Gemma3-12B,gemma12,taxi1500,en,111,50.5,51.4,0.9
Gemma3-12B,gemma12,taxi1500,ar,111,59.5,57.7,-1.8
Gemma3-12B,gemma12,taxi1500,de,111,51.4,50.5,-0.9
Gemma3-12B,gemma12,taxi1500,ru,111,44.1,44.1,0.0
Gemma3-12B,gemma12,taxi1500,sw,111,48.6,49.5,0.9
Gemma3-12B,gemma12,taxi1500,vi,111,46.8,46.8,0.0
Gemma3-12B,gemma12,taxi1500,zh,111,42.3,42.3,0.0
Gemma3-4B,gemma4,sib200,en,204,80.9,81.9,1.0
Gemma3-4B,gemma4,sib200,ar,204,83.3,83.3,0.0
Gemma3-4B,gemma4,sib200,de,204,84.3,84.3,0.0
Gemma3-4B,gemma4,sib200,ru,204,81.4,81.4,0.0
Gemma3-4B,gemma4,sib200,sw,204,80.9,80.9,0.0
Gemma3-4B,gemma4,sib200,vi,204,80.4,80.9,0.5
Gemma3-4B,gemma4,sib200,zh,204,81.4,81.4,0.0
Gemma3-4B,gemma4,taxi1500,en,111,38.7,40.5,1.8
Gemma3-4B,gemma4,taxi1500,ar,111,45.0,45.0,0.0
Gemma3-4B,gemma4,taxi1500,de,111,49.5,50.5,0.9
Gemma3-4B,gemma4,taxi1500,ru,111,47.7,46.8,-0.9
Gemma3-4B,gemma4,taxi1500,sw,111,52.3,51.4,-0.9
Gemma3-4B,gemma4,taxi1500,vi,111,44.1,45.0,0.9
Gemma3-4B,gemma4,taxi1500,zh,111,40.5,41.4,0.9
Qwen3-4B,qwen4,sib200,en,204,80.4,81.4,1.0
Qwen3-4B,qwen4,sib200,ar,204,82.4,81.4,-1.0
Qwen3-4B,qwen4,sib200,de,204,80.4,80.9,0.5
Qwen3-4B,qwen4,sib200,ru,204,82.8,83.3,0.5
Qwen3-4B,qwen4,sib200,sw,204,57.4,57.8,0.5
Qwen3-4B,qwen4,sib200,vi,204,76.5,77.0,0.5
Qwen3-4B,qwen4,sib200,zh,204,82.8,83.3,0.5
Qwen3-4B,qwen4,taxi1500,en,111,36.0,37.8,1.8
Qwen3-4B,qwen4,taxi1500,ar,111,44.1,45.0,0.9
Qwen3-4B,qwen4,taxi1500,de,111,29.7,33.3,3.6
Qwen3-4B,qwen4,taxi1500,ru,111,35.1,37.8,2.7
Qwen3-4B,qwen4,taxi1500,sw,111,18.9,21.6,2.7
Qwen3-4B,qwen4,taxi1500,vi,111,36.0,37.8,1.8
Qwen3-4B,qwen4,taxi1500,zh,111,38.7,41.4,2.7
Qwen3-8B,qwen8,sib200,en,204,82.8,82.4,-0.5
Qwen3-8B,qwen8,sib200,ar,204,79.9,80.4,0.5
Qwen3-8B,qwen8,sib200,de,204,78.4,79.4,1.0
Qwen3-8B,qwen8,sib200,ru,204,81.4,81.9,0.5
Qwen3-8B,qwen8,sib200,sw,204,60.3,63.2,2.9
Qwen3-8B,qwen8,sib200,vi,204,82.4,82.4,0.0
Qwen3-8B,qwen8,sib200,zh,204,77.9,78.4,0.5
Qwen3-8B,qwen8,taxi1500,en,111,25.2,30.6,5.4
Qwen3-8B,qwen8,taxi1500,ar,111,48.6,47.7,-0.9
Qwen3-8B,qwen8,taxi1500,de,111,21.6,23.4,1.8
Qwen3-8B,qwen8,taxi1500,ru,111,24.3,27.0,2.7
Qwen3-8B,qwen8,taxi1500,sw,111,15.3,17.1,1.8
Qwen3-8B,qwen8,taxi1500,vi,111,24.3,30.6,6.3
Qwen3-8B,qwen8,taxi1500,zh,111,43.2,45.0,1.8
