model_name,model,dataset,lang,n,acc_zeroshot_pct,acc_baseline_sft_pct,acc_augmented_sft_pct,delta_aug_vs_baseline_pct,delta_aug_vs_zeroshot_pct
Qwen3-4B,qwen4,sib200,en,204,80.4,91.2,91.2,0.0,10.8
Qwen3-4B,qwen4,sib200,ar,204,82.4,91.7,89.7,-2.0,7.3
Qwen3-4B,qwen4,sib200,de,204,80.4,92.2,92.2,0.0,11.8
Qwen3-4B,qwen4,sib200,ru,204,82.8,90.2,89.2,-1.0,6.4
Qwen3-4B,qwen4,sib200,sw,204,57.4,72.1,68.6,-3.5,11.2
Qwen3-4B,qwen4,sib200,vi,204,76.5,90.7,90.2,-0.5,13.7
Qwen3-4B,qwen4,sib200,zh,204,82.8,92.2,87.7,-4.5,4.9
Qwen3-4B,qwen4,taxi1500,en,111,36.0,78.4,73.9,-4.5,37.9
Qwen3-4B,qwen4,taxi1500,ar,111,44.1,78.4,76.6,-1.8,32.5
Qwen3-4B,qwen4,taxi1500,de,111,29.7,82.0,78.4,-3.6,48.7
Qwen3-4B,qwen4,taxi1500,ru,111,35.1,77.5,77.5,0.0,42.4
Qwen3-4B,qwen4,taxi1500,sw,111,18.9,59.5,52.3,-7.2,33.4
Qwen3-4B,qwen4,taxi1500,vi,111,36.0,78.4,78.4,0.0,42.4
Qwen3-4B,qwen4,taxi1500,zh,111,38.7,78.4,78.4,0.0,39.7
Qwen3-8B,qwen8,sib200,en,204,82.8,94.6,93.6,-1.0,10.8
Qwen3-8B,qwen8,sib200,ar,204,79.9,89.2,91.2,2.0,11.3
Qwen3-8B,qwen8,sib200,de,204,78.4,91.7,92.2,0.5,13.8
Qwen3-8B,qwen8,sib200,ru,204,81.4,92.6,92.2,-0.4,10.8
Qwen3-8B,qwen8,sib200,sw,204,60.3,83.8,81.4,-2.4,21.1
Qwen3-8B,qwen8,sib200,vi,204,82.4,95.1,94.6,-0.5,12.2
Qwen3-8B,qwen8,sib200,zh,204,77.9,92.2,90.7,-1.5,12.8
Qwen3-8B,qwen8,taxi1500,en,111,25.2,83.8,81.1,-2.7,55.9
Qwen3-8B,qwen8,taxi1500,ar,111,48.6,82.0,82.0,0.0,33.4
Qwen3-8B,qwen8,taxi1500,de,111,21.6,80.2,79.3,-0.9,57.7
Qwen3-8B,qwen8,taxi1500,ru,111,24.3,80.2,77.5,-2.7,53.2
Qwen3-8B,qwen8,taxi1500,sw,111,15.3,72.1,68.5,-3.6,53.2
Qwen3-8B,qwen8,taxi1500,vi,111,24.3,79.3,79.3,0.0,55.0
Qwen3-8B,qwen8,taxi1500,zh,111,43.2,77.5,82.9,5.4,39.7
Gemma3-4B,gemma4,sib200,en,204,80.9,91.7,90.7,-1.0,9.8
Gemma3-4B,gemma4,sib200,ar,204,83.3,90.7,92.2,1.5,8.9
Gemma3-4B,gemma4,sib200,de,204,84.3,92.6,89.7,-2.9,5.4
Gemma3-4B,gemma4,sib200,ru,204,81.4,88.2,89.2,1.0,7.8
Gemma3-4B,gemma4,sib200,sw,204,80.9,87.7,87.3,-0.4,6.4
Gemma3-4B,gemma4,sib200,vi,204,80.4,90.2,91.2,1.0,10.8
Gemma3-4B,gemma4,sib200,zh,204,81.4,87.7,89.7,2.0,8.3
Gemma3-4B,gemma4,taxi1500,en,111,38.7,82.0,79.3,-2.7,40.6
Gemma3-4B,gemma4,taxi1500,ar,111,45.0,77.5,80.2,2.7,35.2
Gemma3-4B,gemma4,taxi1500,de,111,49.5,73.9,76.6,2.7,27.1
Gemma3-4B,gemma4,taxi1500,ru,111,47.7,76.6,78.4,1.8,30.7
Gemma3-4B,gemma4,taxi1500,sw,111,52.3,74.8,77.5,2.7,25.2
Gemma3-4B,gemma4,taxi1500,vi,111,44.1,80.2,81.1,0.9,37.0
Gemma3-4B,gemma4,taxi1500,zh,111,40.5,81.1,78.4,-2.7,37.9
Gemma3-12B,gemma12,sib200,en,204,87.7,92.6,94.6,2.0,6.9
Gemma3-12B,gemma12,sib200,ar,204,88.2,93.1,93.1,0.0,4.9
Gemma3-12B,gemma12,sib200,de,204,89.7,93.6,94.6,1.0,4.9
Gemma3-12B,gemma12,sib200,ru,204,88.7,94.1,93.1,-1.0,4.4
Gemma3-12B,gemma12,sib200,sw,204,85.3,89.7,92.2,2.5,6.9
Gemma3-12B,gemma12,sib200,vi,204,89.2,92.2,91.2,-1.0,2.0
Gemma3-12B,gemma12,sib200,zh,204,85.8,92.2,93.1,0.9,7.3
Gemma3-12B,gemma12,taxi1500,en,111,50.5,79.3,78.4,-0.9,27.9
Gemma3-12B,gemma12,taxi1500,ar,111,59.5,76.6,77.5,0.9,18.0
Gemma3-12B,gemma12,taxi1500,de,111,51.4,75.7,73.9,-1.8,22.5
Gemma3-12B,gemma12,taxi1500,ru,111,44.1,74.8,78.4,3.6,34.3
Gemma3-12B,gemma12,taxi1500,sw,111,48.6,78.4,77.5,-0.9,28.9
Gemma3-12B,gemma12,taxi1500,vi,111,46.8,76.6,79.3,2.7,32.5
Gemma3-12B,gemma12,taxi1500,zh,111,42.3,76.6,75.7,-0.9,33.4
