model_name,model,dataset,source,lang,n,acc_zeroshot_pct,acc_baseline_sft_pct,acc_augmented_sft_pct,delta_aug_vs_baseline_pct,delta_aug_vs_zeroshot_pct
Qwen3-4B,qwen4,sib200,macro,en,204,80.4,91.2,91.2,0.0,10.8
Qwen3-4B,qwen4,sib200,macro,ar,204,82.4,91.7,89.7,-2.0,7.3
Qwen3-4B,qwen4,sib200,macro,de,204,80.4,92.2,92.2,0.0,11.8
Qwen3-4B,qwen4,sib200,macro,ru,204,82.8,90.2,89.2,-1.0,6.4
Qwen3-4B,qwen4,sib200,macro,sw,204,57.4,72.1,68.6,-3.5,11.2
Qwen3-4B,qwen4,sib200,macro,vi,204,76.5,90.7,90.2,-0.5,13.7
Qwen3-4B,qwen4,sib200,macro,zh,204,82.8,92.2,87.7,-4.5,4.9
Qwen3-4B,qwen4,sib200,dgcf,en,204,80.4,91.2,92.2,1.0,11.8
Qwen3-4B,qwen4,sib200,dgcf,ar,204,82.4,91.7,89.7,-2.0,7.3
Qwen3-4B,qwen4,sib200,dgcf,de,204,80.4,92.2,92.2,0.0,11.8
Qwen3-4B,qwen4,sib200,dgcf,ru,204,82.8,90.2,90.7,0.5,7.9
Qwen3-4B,qwen4,sib200,dgcf,sw,204,57.4,72.1,71.1,-1.0,13.7
Qwen3-4B,qwen4,sib200,dgcf,vi,204,76.5,90.7,91.2,0.5,14.7
Qwen3-4B,qwen4,sib200,dgcf,zh,204,82.8,92.2,90.2,-2.0,7.4
Qwen3-4B,qwen4,sib200,sft,en,204,80.4,91.2,92.2,1.0,11.8
Qwen3-4B,qwen4,sib200,sft,ar,204,82.4,91.7,91.2,-0.5,8.8
Qwen3-4B,qwen4,sib200,sft,de,204,80.4,92.2,93.1,0.9,12.7
Qwen3-4B,qwen4,sib200,sft,ru,204,82.8,90.2,92.2,2.0,9.4
Qwen3-4B,qwen4,sib200,sft,sw,204,57.4,72.1,73.0,0.9,15.6
Qwen3-4B,qwen4,sib200,sft,vi,204,76.5,90.7,91.2,0.5,14.7
Qwen3-4B,qwen4,sib200,sft,zh,204,82.8,92.2,90.2,-2.0,7.4
Qwen3-4B,qwen4,taxi1500,macro,en,111,36.0,78.4,73.9,-4.5,37.9
Qwen3-4B,qwen4,taxi1500,macro,ar,111,44.1,78.4,76.6,-1.8,32.5
Qwen3-4B,qwen4,taxi1500,macro,de,111,29.7,82.0,78.4,-3.6,48.7
Qwen3-4B,qwen4,taxi1500,macro,ru,111,35.1,77.5,77.5,0.0,42.4
Qwen3-4B,qwen4,taxi1500,macro,sw,111,18.9,59.5,52.3,-7.2,33.4
Qwen3-4B,qwen4,taxi1500,macro,vi,111,36.0,78.4,78.4,0.0,42.4
Qwen3-4B,qwen4,taxi1500,macro,zh,111,38.7,78.4,78.4,0.0,39.7
Qwen3-4B,qwen4,taxi1500,dgcf,en,111,36.0,78.4,82.0,3.6,46.0
Qwen3-4B,qwen4,taxi1500,dgcf,ar,111,44.1,78.4,79.3,0.9,35.2
Qwen3-4B,qwen4,taxi1500,dgcf,de,111,29.7,82.0,82.0,0.0,52.3
Qwen3-4B,qwen4,taxi1500,dgcf,ru,111,35.1,77.5,74.8,-2.7,39.7
Qwen3-4B,qwen4,taxi1500,dgcf,sw,111,18.9,59.5,55.0,-4.5,36.1
Qwen3-4B,qwen4,taxi1500,dgcf,vi,111,36.0,78.4,77.5,-0.9,41.5
Qwen3-4B,qwen4,taxi1500,dgcf,zh,111,38.7,78.4,80.2,1.8,41.5
Qwen3-4B,qwen4,taxi1500,sft,en,111,36.0,78.4,76.6,-1.8,40.6
Qwen3-4B,qwen4,taxi1500,sft,ar,111,44.1,78.4,78.4,0.0,34.3
Qwen3-4B,qwen4,taxi1500,sft,de,111,29.7,82.0,81.1,-0.9,51.4
Qwen3-4B,qwen4,taxi1500,sft,ru,111,35.1,77.5,75.7,-1.8,40.6
Qwen3-4B,qwen4,taxi1500,sft,sw,111,18.9,59.5,55.0,-4.5,36.1
Qwen3-4B,qwen4,taxi1500,sft,vi,111,36.0,78.4,79.3,0.9,43.3
Qwen3-4B,qwen4,taxi1500,sft,zh,111,38.7,78.4,79.3,0.9,40.6
Qwen3-8B,qwen8,sib200,macro,en,204,82.8,94.6,93.6,-1.0,10.8
Qwen3-8B,qwen8,sib200,macro,ar,204,79.9,89.2,91.2,2.0,11.3
Qwen3-8B,qwen8,sib200,macro,de,204,78.4,91.7,92.2,0.5,13.8
Qwen3-8B,qwen8,sib200,macro,ru,204,81.4,92.6,92.2,-0.4,10.8
Qwen3-8B,qwen8,sib200,macro,sw,204,60.3,83.8,81.4,-2.4,21.1
Qwen3-8B,qwen8,sib200,macro,vi,204,82.4,95.1,94.6,-0.5,12.2
Qwen3-8B,qwen8,sib200,macro,zh,204,77.9,92.2,90.7,-1.5,12.8
Qwen3-8B,qwen8,sib200,dgcf,en,204,82.8,94.6,91.7,-2.9,8.9
Qwen3-8B,qwen8,sib200,dgcf,ar,204,79.9,89.2,91.2,2.0,11.3
Qwen3-8B,qwen8,sib200,dgcf,de,204,78.4,91.7,92.2,0.5,13.8
Qwen3-8B,qwen8,sib200,dgcf,ru,204,81.4,92.6,92.2,-0.4,10.8
Qwen3-8B,qwen8,sib200,dgcf,sw,204,60.3,83.8,85.3,1.5,25.0
Qwen3-8B,qwen8,sib200,dgcf,vi,204,82.4,95.1,93.6,-1.5,11.2
Qwen3-8B,qwen8,sib200,dgcf,zh,204,77.9,92.2,92.2,0.0,14.3
Qwen3-8B,qwen8,sib200,sft,en,204,82.8,94.6,93.6,-1.0,10.8
Qwen3-8B,qwen8,sib200,sft,ar,204,79.9,89.2,90.7,1.5,10.8
Qwen3-8B,qwen8,sib200,sft,de,204,78.4,91.7,93.1,1.4,14.7
Qwen3-8B,qwen8,sib200,sft,ru,204,81.4,92.6,91.7,-0.9,10.3
Qwen3-8B,qwen8,sib200,sft,sw,204,60.3,83.8,82.4,-1.4,22.1
Qwen3-8B,qwen8,sib200,sft,vi,204,82.4,95.1,92.6,-2.5,10.2
Qwen3-8B,qwen8,sib200,sft,zh,204,77.9,92.2,90.2,-2.0,12.3
Qwen3-8B,qwen8,taxi1500,macro,en,111,25.2,83.8,81.1,-2.7,55.9
Qwen3-8B,qwen8,taxi1500,macro,ar,111,48.6,82.0,82.0,0.0,33.4
Qwen3-8B,qwen8,taxi1500,macro,de,111,21.6,80.2,79.3,-0.9,57.7
Qwen3-8B,qwen8,taxi1500,macro,ru,111,24.3,80.2,77.5,-2.7,53.2
Qwen3-8B,qwen8,taxi1500,macro,sw,111,15.3,72.1,68.5,-3.6,53.2
Qwen3-8B,qwen8,taxi1500,macro,vi,111,24.3,79.3,79.3,0.0,55.0
Qwen3-8B,qwen8,taxi1500,macro,zh,111,43.2,77.5,82.9,5.4,39.7
Qwen3-8B,qwen8,taxi1500,dgcf,en,111,25.2,83.8,80.2,-3.6,55.0
Qwen3-8B,qwen8,taxi1500,dgcf,ar,111,48.6,82.0,78.4,-3.6,29.8
Qwen3-8B,qwen8,taxi1500,dgcf,de,111,21.6,80.2,75.7,-4.5,54.1
Qwen3-8B,qwen8,taxi1500,dgcf,ru,111,24.3,80.2,77.5,-2.7,53.2
Qwen3-8B,qwen8,taxi1500,dgcf,sw,111,15.3,72.1,64.0,-8.1,48.7
Qwen3-8B,qwen8,taxi1500,dgcf,vi,111,24.3,79.3,76.6,-2.7,52.3
Qwen3-8B,qwen8,taxi1500,dgcf,zh,111,43.2,77.5,82.0,4.5,38.8
Qwen3-8B,qwen8,taxi1500,sft,en,111,25.2,83.8,80.2,-3.6,55.0
Qwen3-8B,qwen8,taxi1500,sft,ar,111,48.6,82.0,76.6,-5.4,28.0
Qwen3-8B,qwen8,taxi1500,sft,de,111,21.6,80.2,75.7,-4.5,54.1
Qwen3-8B,qwen8,taxi1500,sft,ru,111,24.3,80.2,80.2,0.0,55.9
Qwen3-8B,qwen8,taxi1500,sft,sw,111,15.3,72.1,69.4,-2.7,54.1
Qwen3-8B,qwen8,taxi1500,sft,vi,111,24.3,79.3,78.4,-0.9,54.1
Qwen3-8B,qwen8,taxi1500,sft,zh,111,43.2,77.5,79.3,1.8,36.1
