model_name,dataset,source,acc_zeroshot_pct,acc_baseline_sft_pct,acc_augmented_sft_pct,delta_aug_vs_baseline_pct,delta_aug_vs_zeroshot_pct,z_aug_vs_baseline,significant_at_p05
Qwen3-4B,sib200,macro,77.5,88.6,87.0,-1.6,9.4,-1.31,False
Qwen3-4B,sib200,dgcf,77.5,88.6,88.2,-0.4,10.7,-0.35,False
Qwen3-4B,sib200,sft,77.5,88.6,89.0,0.4,11.5,0.36,False
Qwen3-4B,taxi1500,macro,34.1,76.1,73.6,-2.4,39.6,-1.11,False
Qwen3-4B,taxi1500,dgcf,34.1,76.1,75.8,-0.3,41.8,-0.12,False
Qwen3-4B,taxi1500,sft,34.1,76.1,75.1,-1.0,41.0,-0.47,False
Qwen3-8B,sib200,macro,77.6,91.3,90.8,-0.5,13.3,-0.46,False
Qwen3-8B,sib200,dgcf,77.6,91.3,91.2,-0.1,13.6,-0.13,False
Qwen3-8B,sib200,sft,77.6,91.3,90.6,-0.7,13.0,-0.65,False
Qwen3-8B,taxi1500,macro,28.9,79.3,78.7,-0.6,49.7,-0.31,False
Qwen3-8B,taxi1500,dgcf,28.9,79.3,76.3,-3.0,47.4,-1.4,False
Qwen3-8B,taxi1500,sft,28.9,79.3,77.1,-2.2,48.2,-1.04,False
Gemma3-4B,sib200,macro,81.8,89.8,90.0,0.2,8.2,0.12,False
Gemma3-4B,sib200,dgcf,81.8,89.8,90.3,0.5,8.5,0.44,False
Gemma3-4B,sib200,sft,81.8,89.8,89.4,-0.4,7.6,-0.37,False
Gemma3-4B,taxi1500,macro,45.4,78.0,78.8,0.8,33.4,0.37,False
Gemma3-4B,taxi1500,dgcf,45.4,78.0,76.7,-1.3,31.3,-0.61,False
Gemma3-4B,taxi1500,sft,45.4,78.0,78.1,0.1,32.7,0.06,False
Gemma3-12B,sib200,macro,87.8,92.5,93.1,0.6,5.3,0.65,False
Gemma3-12B,sib200,dgcf,87.8,92.5,91.8,-0.7,4.0,-0.7,False
Gemma3-12B,sib200,sft,87.8,92.5,93.0,0.5,5.2,0.58,False
Gemma3-12B,taxi1500,macro,49.0,76.9,77.2,0.4,28.2,0.18,False
Gemma3-12B,taxi1500,dgcf,49.0,76.9,75.2,-1.7,26.2,-0.77,False
Gemma3-12B,taxi1500,sft,49.0,76.9,76.6,-0.3,27.6,-0.12,False
